THCIC_ID,Hospital_name,Hospital_city,COUNTY,q1,q2,q3,q4,end of quarter
936000,Baylor Scott & White Orthopedic and Spine,Arlington,439,391,429,413,449,end of list
974730,Texas Rehab Hospital of Arlington,Arlington,439,243,249,244,238,end of list
975388,Perimeter Behavioral Hospital of Arlington,Arlington,439,,,62,160,end of list
666000,Stonewall Memorial Hospital,Aspermont,433,56,27,26,43,end of list
975293,UT Health East Texas Athens Hospital,Athens,213,1495,1492,1510,1448,end of list
788003,Christus St Michael Hospital Atlanta,Atlanta,067,125,142,122,157,end of list
873200,Baylor Emergency Medical Center at Aubrey,Aubrey,121,28,35,38,29,end of list
000100,Austin State Hospital,Austin,453,156,146,143,165,end of list
035000,St Davids Hospital,Austin,453,5120,5245,5340,5340,end of list
497000,Ascension Seton Medical Center,Austin,453,5804,5687,5753,5943,end of list
602000,St Davids South Austin Hospital,Austin,453,5305,5610,5971,5955,end of list
622001,Texas NeuroRehab Center,Austin,453,144,153,142,152,end of list
649000,St Davids Rehab Center,Austin,453,356,350,326,362,end of list
700000,Cornerstone Specialty Hospitals Austin,Austin,453,67,66,63,70,end of list
739001,Texas NeuroRehab Center,Austin,453,166,186,193,62,end of list
770000,Ascension Seton Shoal Creek,Austin,453,569,564,515,541,end of list
794000,Northwest Hills Surgical Hospital,Austin,453,130,128,130,118,end of list
797500,Ascension Seton Southwest,Austin,209,59,85,99,105,end of list
797600,Ascension Seton Northwest,Austin,453,1711,1643,1538,1579,end of list
822800,Westlake Medical Center,Austin,453,203,186,204,201,end of list
829000,Heart Hospital-Austin,Austin,453,903,951,903,969,end of list
829900,North Austin Medical Center,Austin,453,6860,7131,7316,7473,end of list
852000,Dell Childrens Medical Center,Austin,453,2323,2127,1881,2400,end of list
854400,Central Texas Rehab Hospital,Austin,453,233,237,226,234,end of list
855200,Austin Lakes Hospital,Austin,453,678,700,677,626,end of list
970800,Encompass Health Rehab Hospital Austin,Austin,453,295,287,258,258,end of list
973160,Austin Oaks Hospital,Austin,453,703,719,638,699,end of list
973290,Arise Austin Medical Center,Austin,453,114,119,95,123,end of list
974620,Cross Creek Hospital,Austin,453,637,638,770,822,end of list
975169,St Davids Surgical Hospital,Austin,491,184,186,241,323,end of list
975215,Dell Seton Medical Center at The University of Texas,Austin,453,2820,2865,2932,2930,end of list
975269,Lake Travis ER,Austin,453,2,5,5,6,end of list
469000,Texas Health Harris Methodist Hospital Azle,Azle,439,359,389,352,371,end of list
234000,Ballinger Memorial Hospital District,Ballinger,399,31,52,46,55,end of list
975418,Ascension Seton Bastrop,Bastrop,021,,,,5,end of list
006000,Matagorda Regional Medical Center,Bay City,321,603,624,621,588,end of list
006001,Matagorda Regional Medical Center,Bay City,321,38,35,40,42,end of list
405000,Houston Methodist Baytown Hospital,Baytown,201,3926,3746,3991,4079,end of list
973860,Altus Baytown Hospital Baytown Medical Center,Baytown,201,54,33,46,27,end of list
389000,Baptist Hospitals of Southeast Texas,Beaumont,245,4031,3836,3948,3921,end of list
444001,CHRISTUS Southeast Texas - St Elizabeth,Beaumont,245,4356,4274,4337,4470,end of list
861900,Kate Dishman Rehab Hospital,Beaumont,245,98,90,90,119,end of list
975111,Medical Center of Southeast Texas Beaumont Campus,Beaumont,245,19,8,41,53,end of list
975149,PAM Rehabilitation Hospital of Beaumont,Beaumont,245,189,170,182,186,end of list
975255,CHRISTUS Dubuis Hospital Beaumont,Beaumont,245,97,90,78,94,end of list
975376,Mid-Jefferson Extended Care Hospital Beaumont,Beaumont,245,,,71,78,end of list
182000,Texas Health Harris Methodist HEB,Bedford,439,3170,2579,3700,3171,end of list
700003,Encompass Health Rehab Hospital The Mid-Cities,Bedford,439,334,346,323,336,end of list
778000,Texas Health Springwood Behavioral Health Hospital,Bedford,439,518,525,417,461,end of list
429001,CHRISTUS Spohn Hospital-Beeville,Beeville,025,477,449,405,470,end of list
974820,Memorial Hermann Orthopedic and Spine Hospital,Bellaire,201,326,304,291,321,end of list
975131,First Surgical Hospital,Bellaire,201,78,87,,,end of list
975412,First Surgical Hospital,Bellaire,201,,,,86,end of list
552000,Bellville Medical Center,Bellville,015,12,14,35,28,end of list
806002,Cedar Crest Hospital,Belton,027,644,656,699,747,end of list
343000,Reagan Memorial Hospital,Big Lake,383,10,4,8,4,end of list
000101,Big Spring State Hospital,Big Spring,329,35,59,79,61,end of list
975372,Scenic Mountain Medical Center,Big Spring,227,,380,499,481,end of list
106001,TMC Bonham Hospital,Bonham,147,152,128,126,147,end of list
654000,Golden Plains Community Hospital,Borger,233,240,187,214,206,end of list
975156,Central Hospital of Bowie,Bowie,337,6,2,1,,end of list
362000,Heart of Texas Healthcare System,Brady,307,72,52,51,51,end of list
430000,Stephens Memorial Hospital,Breckenridge,429,73,61,63,54,end of list
066000,Baylor Scott & White Hospital-Brenham,Brenham,477,337,408,384,400,end of list
078000,Brownfield Regional Medical Center,Brownfield,445,157,115,97,128,end of list
019000,Valley Regional Medical Center,Brownsville,061,2694,2559,2711,2579,end of list
314001,Valley Baptist Medical Center-Brownsville,Brownsville,061,2195,2270,2351,2570,end of list
821100,South Texas Rehab Hospital,Brownsville,061,200,192,189,181,end of list
847500,Solara Specialty Hospitals Harlingen Brownsville,Brownsville,061,80,101,106,98,end of list
058000,Brownwood Regional Medical Center,Brownwood,049,813,798,833,745,end of list
002001,St Joseph Regional Health Center,Bryan,041,3803,3919,3962,4091,end of list
717500,Physicians Centre Hospital,Bryan,041,77,71,91,97,end of list
975162,"CHI St Joseph Rehab Hospital, Encompass Health",Bryan,041,355,353,362,353,end of list
975270,Caprock Hospital,Bryan,041,5,3,1,4,end of list
975391,Baylor Scott & White Medical Center Buda,Buda,209,,,,23,end of list
973920,Baylor Emergency Medical Center,Burleson,251,81,60,55,43,end of list
559000,Ascension Seton Highland Lakes,Burnet,053,177,172,174,217,end of list
679000,Burleson St Joseph Health Center-Caldwell,Caldwell,051,54,37,59,52,end of list
457000,Hemphill County Hospital,Canadian,211,30,19,19,35,end of list
156000,Dimmit Regional Hospital,Carrizo Springs,127,163,146,148,133,end of list
042000,Baylor Scott & White Medical Center Carrollton,Carrollton,121,1069,974,889,969,end of list
672000,Select Specialty Hospital-Dallas,Carrollton,121,82,77,74,62,end of list
969500,Carrollton Springs,Carrollton,121,548,567,593,541,end of list
974800,First Texas Hospital,Carrollton,113,71,32,,,end of list
975294,UT Health East Texas Carthage Hospital,Carthage,365,173,164,134,157,end of list
101200,Baylor Scott & White Emergency Hospital Cedar Park,Cedar Park,491,2,1,,,end of list
858300,Cedar Park Regional Medical Center,Cedar Park,491,1493,1585,1480,1492,end of list
026000,Childress Regional Medical Center,Childress,075,222,194,209,221,end of list
523000,Chillicothe Hospital,Chillicothe,197,2,,,,end of list
323000,Texas Health Harris Methodist Hospital Cleburne,Cleburne,251,869,787,901,961,end of list
975112,Cleveland Emergency Hospital,Cleveland,291,20,46,30,34,end of list
975222,Texas Rural Hospitals,Cleveland,291,18,47,41,54,end of list
070000,Goodall - Witcher Hospital,Clifton,035,101,99,66,77,end of list
049000,Coleman County Medical Center,Coleman,083,147,153,133,126,end of list
071000,College Station Medical Center,College Station,041,502,469,133,,end of list
206100,Baylor Scott & White Hospital College Station,College Station,041,2037,2218,2190,2173,end of list
973830,Rock Prairie Behavioral Health,College Station,041,379,450,479,497,end of list
975403,CHI St Joseph Health - College Station Hospital,College Station,041,,,301,499,end of list
972420,Baylor Emergency Medical Center,Colleyville,439,3,,,,end of list
075000,Mitchell County Hospital,Colorado City,335,112,109,96,91,end of list
014000,Columbus Community Hospital,Columbus,089,289,247,285,322,end of list
495001,Comanche County Medical Center,Comanche,093,148,136,121,130,end of list
100087,Montgomery County Mental Health Treatment Facility,Conroe,339,98,99,95,93,end of list
508001,HCA Houston Healthcare Conroe,Conroe,339,4151,4064,4312,4572,end of list
695000,Encompass Health Rehab Hospital The Woodlands,Conroe,339,169,192,192,171,end of list
854100,Cornerstone Specialty Hospital Conroe,Conroe,339,78,105,102,95,end of list
915000,Aspire Hospital,Conroe,339,207,186,210,209,end of list
975288,Woodland Springs,Conroe,339,483,528,512,571,end of list
975324,The Woodlands Integrative Care Hospital,Conroe,339,37,89,70,,end of list
398000,CHRISTUS Spohn Hospital Corpus Christi,Corpus Christi,355,442,453,450,384,end of list
398001,CHRISTUS Spohn Hospital Corpus Christi-Shoreline,Corpus Christi,355,4330,4282,4280,4109,end of list
398002,CHRISTUS Spohn Hospital Corpus Christi-South,Corpus Christi,355,2328,2183,2389,2294,end of list
488000,Driscoll Childrens Hospital,Corpus Christi,355,1004,841,800,995,end of list
703000,Corpus Christi Medical Center-Bay Area,Corpus Christi,355,3160,2742,3580,3468,end of list
703002,Corpus Christi Medical Center-Doctors Regional,Corpus Christi,355,2237,2311,2327,2323,end of list
703003,Corpus Christi Medical Center-Heart Hospital,Corpus Christi,355,344,634,169,168,end of list
703005,Bayview Behavioral Hospital,Corpus Christi,355,650,611,621,684,end of list
704004,Corpus Christi Medical Center-Northwest,Corpus Christi,355,,3,1,2,end of list
931000,South Texas Surgical Hospital,Corpus Christi,355,222,202,252,260,end of list
973250,PAM Specialty Hospital of Corpus Christi South,Corpus Christi,355,78,25,,,end of list
973310,Corpus Christi Rehabilitation Hospital,Corpus Christi,355,184,198,205,217,end of list
974360,PAM Specialty Hospital of Corpus Christi North,Corpus Christi,355,74,56,45,67,end of list
975271,PAM Rehab Hospital of Corpus Christi,Corpus Christi,355,190,204,196,222,end of list
975303,PAM Specialty Hospital of Corpus Christi Bayfront,Corpus Christi,355,190,204,196,222,end of list
141000,Navarro Regional Hospital,Corsicana,349,752,667,687,706,end of list
467000,Crane Memorial Hospital,Crane,103,21,16,26,22,end of list
975259,Crockett Medical Center,Crockett,225,38,30,32,40,end of list
176000,Crosbyton Clinic Hospital,Crosbyton,107,22,17,7,7,end of list
074000,Cuero Regional Hospital,Cuero,123,268,229,254,282,end of list
114100,Lone Star Behavioral Health Cypress,Cypress,201,51,38,50,73,end of list
975201,Memorial Hermann Cypress Hospital,Cypress,201,1204,1572,1797,1780,end of list
975321,HCA Houston Healthcare North Cypress,Cypress,201,2206,2372,2511,2594,end of list
262000,Coon Memorial Hospital & Home,Dalhart,111,128,123,139,164,end of list
008001,Baylor Scott & White Medical Center Uptown,Dallas,113,278,285,255,274,end of list
028000,Kindred Hospital-Dallas,Dallas,113,130,115,105,99,end of list
054000,Texas Scottish Rite Hospital for Children,Dallas,113,141,162,147,158,end of list
142000,Methodist Charlton Medical Center,Dallas,113,3816,3750,3670,3796,end of list
143000,Childrens Medical Center-Dallas,Dallas,113,3192,2833,2700,3037,end of list
255000,Methodist Dallas Medical Center,Dallas,113,4147,4090,4149,4270,end of list
331000,Baylor University Medical Center,Dallas,113,10218,10517,10266,10162,end of list
340000,Medical City Dallas Hospital,Dallas,113,8487,8748,8650,8741,end of list
431000,Texas Health Presbyterian Hospital Dallas,Dallas,113,7086,7355,7851,7581,end of list
448001,UT Southwestern University Hospital-Clements University,Dallas,113,5728,5907,5973,5908,end of list
449000,Dallas Medical Center,Dallas,113,577,624,612,556,end of list
474000,Parkland Memorial Hospital,Dallas,113,11811,11801,12860,12273,end of list
642000,Baylor Scott & White Institute for Rehab,Dallas,113,372,362,360,354,end of list
653001,UT Southwestern University Hospital-Zale Lipshy,Dallas,113,1231,1223,1161,1167,end of list
653002,UT Southwestern University Hospital-Zale Lipshy Psych,Dallas,113,153,183,198,177,end of list
653003,UT Southwestern University Hospital-Zale Lipshy Rehab,Dallas,113,205,217,213,233,end of list
680001,Encompass Health Rehab Hospital Dallas,Dallas,113,243,252,243,262,end of list
717000,LifeCare Hospital-Dallas,Dallas,113,112,101,83,,end of list
766000,Medical City Green Oaks Hospital,Dallas,113,1269,1378,1568,1600,end of list
784400,Baylor Scott & White Heart & Vascular Hospital Dallas,Dallas,113,683,643,629,577,end of list
813100,Texas Institute for Surgery-Texas Health Presbyterian-Dallas,Dallas,113,165,134,155,165,end of list
818200,Pine Creek Medical Center,Dallas,113,29,32,,,end of list
860600,North Central Surgical Center,Dallas,113,421,393,390,455,end of list
862000,Methodist Rehab Hospital,Dallas,113,290,282,305,316,end of list
914000,Kindred Hospital Dallas Central,Dallas,113,139,150,142,122,end of list
973780,Promise Hospital of Dallas,Dallas,113,22,33,,,end of list
974270,Select Specialty Hospital Dallas (Downtown),Dallas,113,71,74,73,67,end of list
975010,Our Childrens House,Dallas,113,85,100,77,129,end of list
975129,First Baptist Medical Center,Dallas,113,72,72,98,94,end of list
975268,City Hospital at White Rock,Dallas,113,1941,1887,1876,2006,end of list
975400,KPC Promise Hospital of Dallas,Dallas,113,,,33,27,end of list
975407,Medical City Heart & Spine Hospitals,Dallas,113,,,,539,end of list
975791,LifeCare Hospital of North Texas Dallas,Dallas,113,,,,71,end of list
837800,Hickory Trail Hospital,DeSoto,113,722,758,807,726,end of list
839100,Vibra Specialty Hospital,DeSoto,113,108,106,76,83,end of list
973400,Dallas Behavioral Healthcare Hospital,DeSoto,113,1010,1034,858,955,end of list
254000,Wise Health System,Decatur,497,40,30,50,47,end of list
254001,Wise Health System,Decatur,497,1151,1902,1305,1415,end of list
462000,Val Verde Regional Medical Center,Del Rio,465,760,758,737,722,end of list
847000,Texoma Medical Center,Denison,181,5533,5660,5657,5691,end of list
208100,Baylor Scott & White The Heart Hospital Denton,Denton,121,169,191,177,188,end of list
336001,Medical City Denton,Denton,121,2398,2317,2406,2690,end of list
820800,Texas Health Presbyterian Hospital-Denton,Denton,121,3059,3107,3265,3042,end of list
826800,University Behavioral Health-Denton,Denton,121,738,704,760,730,end of list
831700,Mayhill Hospital,Denton,121,541,556,494,473,end of list
871500,Select Rehab Hospital-Denton,Denton,121,148,171,202,210,end of list
975163,Horizon Medical Center of Denton,Denton,121,35,285,49,33,end of list
485000,Yoakum County Hospital,Denver City,501,175,154,154,174,end of list
260000,Plains Memorial Hospital,Dimmitt,069,26,30,23,37,end of list
199000,Memorial Hospital,Dumas,341,220,185,163,198,end of list
560000,Rice Medical Center,Eagle Lake,089,30,39,43,44,end of list
547001,Fort Duncan Regional Medical Center,Eagle Pass,323,1285,1233,1379,1367,end of list
222000,Eastland Memorial Hospital,Eastland,133,169,133,153,130,end of list
202000,Concho County Hospital,Eden,095,25,13,21,15,end of list
140002,South Texas Health System Edinburg,Edinburg,215,3097,2791,2693,3084,end of list
797100,Doctors Hospital-Renaissance,Edinburg,215,5508,5313,5318,5432,end of list
797101,Womens Hospital-Renaissance,Edinburg,215,4174,4397,5016,4670,end of list
830000,Cornerstone Regional Hospital,Edinburg,215,117,113,107,89,end of list
017000,Jackson County Hospital,Edna,239,35,41,57,36,end of list
426000,El Campo Memorial Hospital,El Campo,481,165,169,171,175,end of list
000118,El Paso Psychiatric Center,El Paso,141,163,178,180,172,end of list
130000,The Hospitals of Providence Memorial Campus,El Paso,141,4125,3744,3933,3748,end of list
180000,Las Palmas Medical Center,El Paso,141,3147,3074,3333,3592,end of list
263000,University Medical Center of El Paso,El Paso,141,4505,4549,4421,4174,end of list
266000,The Hospitals of Providence Sierra Campus,El Paso,141,1801,1724,1695,1619,end of list
319000,Del Sol Medical Center,El Paso,141,4524,4484,4485,4439,end of list
701000,Premier Specialty Hospital of El Paso,El Paso,141,37,52,37,39,end of list
718002,Highlands Rehabilitation Hospital,El Paso,141,177,161,189,142,end of list
727100,Kindred Hospital El Paso,El Paso,141,129,134,133,128,end of list
801300,Legent Hospital of El Paso,El Paso,141,98,109,114,113,end of list
841300,El Paso LTAC Hospital,El Paso,141,54,46,69,55,end of list
858600,El Paso Behavioral Health System,El Paso,141,1595,1592,1503,1468,end of list
865000,The Hospitals of Providence East Campus,El Paso,141,3249,3348,3564,3473,end of list
969700,El Paso Childrens Hospital,El Paso,141,1186,940,924,1040,end of list
975188,The Hospitals of Providence Transmountain Campus,El Paso,141,1248,1347,1495,1291,end of list
975338,The Hospitals of Providence Northeast Campus,El Paso,141,49,50,70,87,end of list
975374,Rio Vista Behavioral Health,El Paso,141,37,107,260,373,end of list
975398,Cobalt Rehabilitation Hospital El Paso,El Paso,141,,,,2,end of list
136000,Schleicher County Medical Center,Eldorado,413,15,7,9,15,end of list
490000,Electra Memorial Hospital,Electra,485,77,76,88,82,end of list
714500,Ennis Regional Medical Center,Ennis,139,158,157,146,164,end of list
975198,Freestone Medical Center,Fairfield,161,72,72,86,87,end of list
433000,Connally Memorial Medical Center,Floresville,493,201,211,175,222,end of list
943000,Texas Health Presbyterian Hospital Flower Mound,Flower Mound,121,1956,1854,1956,2030,end of list
975142,Icare Rehabilitation Hospital,Flower Mound,121,71,55,,,end of list
356000,Pecos County Memorial Hospital,Fort Stockton,371,169,114,115,164,end of list
047000,Texas Health Huguley Hospital,Fort Worth,439,3035,2901,3034,2989,end of list
235000,Texas Health Harris Methodist Hospital-Fort Worth,Fort Worth,439,8659,8827,9314,9558,end of list
332000,Cook Childrens Medical Center,Fort Worth,439,3198,2979,2874,3732,end of list
363000,Baylor Scott & White All Saints Medical Center-Fort Worth,Fort Worth,439,5811,5982,6008,6028,end of list
409000,John Peter Smith Hospital,Fort Worth,439,7384,7621,7991,7577,end of list
477000,Medical City Fort Worth,Fort Worth,439,2610,2656,2921,2922,end of list
627000,Texas Health Harris Methodist Hospital-Southwest Fort Worth,Fort Worth,439,3518,3569,3734,3747,end of list
652000,Texas Health Specialty Hospital-Fort Worth,Fort Worth,439,22,15,20,24,end of list
662000,Encompass Health Rehab Hospital City View,Fort Worth,439,340,357,350,335,end of list
690600,LifeCare Hospital-Fort Worth,Fort Worth,439,115,125,107,,end of list
800000,Kindred Hospital Tarrant County Fort Worth SW,Fort Worth,439,206,216,164,164,end of list
800700,Kindred Hospital-Fort Worth,Fort Worth,439,128,120,116,140,end of list
804500,Baylor Scott & White Surgical Hospital-Fort Worth,Fort Worth,439,398,471,403,519,end of list
861400,USMD Hospital Fort Worth,Fort Worth,439,27,44,27,19,end of list
873800,Baylor Scott & White Institute for Rehab-Fort Worth,Fort Worth,439,158,166,128,135,end of list
902200,Texas Rehabilitation Hospital-Fort Worth,Fort Worth,439,343,337,345,332,end of list
972900,Texas Health Harris Methodist Hospital Alliance,Fort Worth,439,2059,2045,2128,2093,end of list
973430,Mesa Springs,Fort Worth,439,741,770,775,717,end of list
973770,Wellbridge Hospital of Fort Worth,Fort Worth,439,233,202,168,220,end of list
973840,Wise Health Surgical Hospital,Fort Worth,439,58,94,96,120,end of list
974490,Medical City Alliance,Fort Worth,439,1396,1320,1301,1350,end of list
975121,JPS Health Network - Trinity Springs North,Fort Worth,439,36,43,33,37,end of list
975167,Texas Health Hospital Clearfork,Fort Worth,439,387,342,388,346,end of list
975792,LifeCare Hospitals of Fort Worth,Fort Worth,439,,,,82,end of list
219000,Hill Country Memorial Hospital,Fredericksburg,171,733,705,688,717,end of list
200000,Parmer Medical Center,Friona,369,17,29,20,23,end of list
100093,Baylor Scott & White Institute for Rehab Frisco,Frisco,121,191,204,186,215,end of list
787400,Baylor Scott & White Medical Center-Frisco,Frisco,121,1331,1434,1344,1479,end of list
974290,Haven Behavioral Hospital of Frisco,Frisco,121,257,310,352,343,end of list
975139,Medical City Frisco,Frisco,121,966,1075,1231,1256,end of list
975285,Baylor Scott & White Medical Center Centennial,Frisco,085,1228,1128,1043,1006,end of list
298000,North Texas Medical Center,Gainesville,097,350,314,291,384,end of list
000102,UT Medical Branch Hospital,Galveston,167,7292,7308,7559,7227,end of list
247000,Shriners Hospital for Children-Galveston,Galveston,167,27,26,36,45,end of list
974990,Garland Behavioral Hospital,Garland,113,509,520,551,597,end of list
975404,Perimeter Behavioral Hospital of Dallas,Garland,113,,,,63,end of list
346000,Coryell Memorial Hospital,Gatesville,099,166,159,179,165,end of list
835700,St Davids Georgetown Hospital,Georgetown,491,1505,1458,1482,1554,end of list
973730,Rock Springs,Georgetown,491,523,544,625,514,end of list
973910,Georgetown Behavioral Health Institute,Georgetown,491,843,872,831,840,end of list
059000,Glen Rose Medical Center,Glen Rose,425,67,60,55,58,end of list
103000,Memorial Hospital,Gonzales,177,193,201,190,167,end of list
094000,Graham Hospital District,Graham,503,132,113,130,103,end of list
424000,Lake Granbury Medical Center,Granbury,221,1005,970,1085,1056,end of list
975249,Baylor Scott & White Emergency Hospital-Grand Prairie,Grand Prairie,113,42,40,43,31,end of list
974380,Texas General Hospital Van Zandt Regional Medical Center,Grand Saline,467,20,48,,,end of list
513000,Baylor Scott & White Medical Center-Grapevine,Grapevine,439,3630,3750,3691,3815,end of list
858200,Sagecrest Hospital Grapevine,Grapevine,439,44,41,46,20,end of list
085000,Hunt Regional Medical Center Greenville,Greenville,231,1772,1680,1829,1893,end of list
754000,Glen Oaks Hospital,Greenville,231,501,495,473,463,end of list
052000,Limestone Medical Center,Groesbeck,293,60,49,55,66,end of list
527000,Lavaca Medical Center,Hallettsville,285,131,93,98,86,end of list
640000,Hamilton General Hospital,Hamilton,193,166,137,110,133,end of list
305000,Hamlin Memorial Hospital,Hamlin,253,16,17,,,end of list
971000,Seton Medical Center Harker Heights,Harker Heights,027,1321,1293,1270,1185,end of list
000104,Rio Grande State Center,Harlingen,061,166,200,202,189,end of list
400000,Valley Baptist Medical Center,Harlingen,061,4324,3998,4066,4246,end of list
788002,Harlingen Medical Center,Harlingen,061,1271,1175,1073,1266,end of list
840700,Solara Specialty Hospitals Harlingen,Harlingen,061,79,102,95,87,end of list
975164,Palms Behavioral Health,Harlingen,061,767,682,589,698,end of list
572000,Haskell Memorial Hospital,Haskell,207,39,63,37,53,end of list
522000,Sabine County Hospital,Hemphill,403,65,39,48,44,end of list
975295,UT Health East Texas Henderson Hospital,Henderson,401,359,317,355,404,end of list
193000,Clay County Memorial Hospital,Henrietta,077,39,21,28,22,end of list
420000,Hereford Regional Medical Center,Hereford,117,188,202,166,153,end of list
383000,Hill Regional Hospital,Hillsboro,217,269,246,254,254,end of list
427000,Medina Regional Hospital,Hondo,325,224,168,168,187,end of list
975233,The Hospitals of Providence Horizon City Campus,Horizon City,141,58,59,64,45,end of list
000105,UT MD Anderson Cancer Center,Houston,201,7147,7373,7072,6996,end of list
000115,Harris County Psychiatric Center,Houston,201,1982,2170,2244,2317,end of list
007000,Womans Hospital-Texas,Houston,201,5946,6175,6670,6354,end of list
030000,United Memorial Medical Center,Houston,201,153,191,178,179,end of list
112100,Encompass Health Rehab Hospital Cypress,Houston,201,332,336,343,325,end of list
117000,Texas Childrens Hospital,Houston,201,4243,4087,4115,4650,end of list
117002,Texas Childrens Hospital West Campus,Houston,201,837,720,749,945,end of list
117100,Texas Childrens Hospital-Pavilion for Women,Houston,201,3214,3230,3562,3312,end of list
118000,CHI St Lukes Health Baylor College of Medicine Medical Center,Houston,201,5775,5784,5458,5436,end of list
119000,Memorial Hermann Southeast Hospital,Houston,201,4166,4137,4021,3968,end of list
124000,Houston Methodist Hospital,Houston,201,9946,10638,10503,10775,end of list
164000,TIRR Memorial Hermann,Houston,201,382,410,380,365,end of list
172000,Memorial Hermann Greater Heights Hospital,Houston,201,4058,4037,3969,3937,end of list
229000,HCA Houston Healthcare Northwest,Houston,201,4036,4095,4533,4742,end of list
302000,Memorial Hermann Memorial City Medical Center,Houston,201,5990,6149,6294,6340,end of list
337001,HCA Houston Healthcare West,Houston,201,3616,3683,3945,3921,end of list
347000,Memorial Hermann - Texas Medical Center,Houston,201,8874,8882,8960,9373,end of list
384000,Harris Health System Lyndon B Johnson Hospital,Houston,201,3302,3404,3408,3204,end of list
390000,HCA Houston Healthcare Medical Center,Houston,201,713,879,956,1112,end of list
407000,Memorial Hermann Southwest Hospital,Houston,201,5076,5318,5486,5039,end of list
459000,Harris Health System Ben Taub Hospital,Houston,201,4687,4834,4978,4925,end of list
459001,Harris Health System Quentin Mease Hospital,Houston,201,18,,,,end of list
526000,Shriners Hospitals for Children,Houston,201,73,81,65,50,end of list
606000,HCA Houston Healthcare Cypress Fairbanks,Houston,201,1416,,,,end of list
674000,TOPS Surgical Specialty Hospital,Houston,201,138,166,175,200,end of list
676000,Kindred Hospital-Houston Medical Center,Houston,201,204,175,152,144,end of list
698005,Cornerstone Specialty Hospitals Bellaire,Houston,201,86,89,102,90,end of list
706000,Kindred Hospital Houston NW,Houston,201,139,135,118,98,end of list
712500,HealthBridge Childrens Hospital-Houston,Houston,201,17,22,29,23,end of list
724700,Houston Methodist Willowbrook Hospital,Houston,201,5721,5870,6236,6235,end of list
740000,St Lukes Hospital at the Vintage,Houston,201,1219,1384,1354,1452,end of list
744001,Cypress Creek Hospital,Houston,201,1013,1065,1076,1070,end of list
755001,West Oaks Hospital,Houston,201,1626,1608,1579,1606,end of list
763000,HCA Houston Healthcare Specialty Hospital Medical Center,Houston,201,88,64,76,21,end of list
782001,Intracare North Hospital,Houston,201,540,541,524,523,end of list
792000,Texas Orthopedic Hospital,Houston,201,906,981,907,1076,end of list
792600,Kindred Hospital Spring,Houston,201,148,103,110,134,end of list
794200,Menninger Clinic,Houston,201,164,170,159,170,end of list
800010,Houston Methodist West Hospital,Houston,201,3566,3552,3732,3786,end of list
838600,St Joseph Medical Center,Houston,201,3298,3152,3434,3636,end of list
941000,Kindred Hospital The Heights,Houston,201,142,145,120,113,end of list
945500,Hermann Drive Surgical Hospital,Houston,201,155,47,,,end of list
969200,Behavioral Hospital-Bellaire,Houston,201,973,997,932,943,end of list
970600,Encompass Health Rehab Hospital The Vintage,Houston,201,310,329,317,307,end of list
