THCIC_ID,Hospital_name,Hospital_city,COUNTY,q1,q2,q3,q4,End of List
770000,Ascension Seton Shoal Creek,Austin,453,816,708,497,536,end of record
794000,Northwest Hills Surgical Hospital,Austin,453,126,116,124,140,end of record
797500,Ascension Seton Southwest,Austin,209,37,54,45,52,end of record
797600,Ascension Seton Northwest,Austin,453,1595,1464,1438,1551,end of record
822800,Westlake Medical Center,Austin,453,135,197,226,252,end of record
829000,Heart Hospital-Austin,Austin,453,988,936,887,887,end of record
829900,North Austin Medical Center,Austin,453,6955,6926,7076,6939,end of record
852000,Dell Childrens Medical Center,Austin,453,2553,2307,1942,2373,end of record
854400,Central Texas Rehab Hospital,Austin,453,262,248,261,248,end of record
855200,Austin Lakes Hospital,Austin,453,609,669,670,715,end of record
970800,Encompass Health Rehab Hospital Austin,Austin,453,371,337,352,355,end of record
973160,Austin Oaks Hospital,Austin,453,634,698,668,768,end of record
973290,Arise Austin Medical Center,Austin,453,192,134,103,104,end of record
974620,Cross Creek Hospital,Austin,453,585,657,701,704,end of record
975169,St Davids Surgical Hospital,Austin,491,218,213,231,273,end of record
975215,Dell Seton Medical Center at The University of Texas,Austin,453,3059,3003,2881,2897,end of record
469000,Texas Health Harris Methodist Hospital Azle,Azle,439,414,361,399,376,end of record
234000,Ballinger Memorial Hospital District,Ballinger,399,35,39,46,54,end of record
006000,Matagorda Regional Medical Center,Bay City,321,594,529,532,570,end of record
006001,Matagorda Regional Medical Center,Bay City,321,31,28,35,36,end of record
405000,Houston Methodist Baytown Hospital,Baytown,201,3299,3667,3802,3815,end of record
973860,Altus Baytown Hospital Baytown Medical Center,Baytown,201,82,68,65,45,end of record
389000,Baptist Hospitals of Southeast Texas,Beaumont,245,4191,4029,3928,4018,end of record
444001,CHRISTUS Southeast Texas - St Elizabeth,Beaumont,245,4324,4233,4421,4405,end of record
861900,Kate Dishman Rehab Hospital,Beaumont,245,92,112,109,98,end of record
975111,Medical Center of Southeast Texas Beaumont Campus,Beaumont,245,38,55,55,63,end of record
975149,PAM Rehabilitation Hospital of Beaumont,Beaumont,245,159,165,148,146,end of record
975255,CHRISTUS Dubuis Hospital Beaumont,Beaumont,245,112,106,95,91,end of record
182000,Texas Health Harris Methodist HEB,Bedford,439,3314,3264,3436,3318,end of record
700003,Encompass Health Rehab Hospital The Mid-Cities,Bedford,439,290,328,339,270,end of record
778000,Texas Health Springwood Behavioral Health Hospital,Bedford,439,124,34,336,493,end of record
429001,CHRISTUS Spohn Hospital-Beeville,Beeville,025,524,504,474,432,end of record
974820,Memorial Hermann Orthopedic and Spine Hospital,Bellaire,201,406,440,297,283,end of record
975131,First Surgical Hospital,Bellaire,201,61,80,78,142,end of record
552000,Bellville Medical Center,Bellville,015,22,14,14,11,end of record
806002,Cedar Crest Hospital,Belton,027,670,610,656,774,end of record
343000,Reagan Memorial Hospital,Big Lake,383,10,5,5,3,end of record
000101,Big Spring State Hospital,Big Spring,329,49,45,46,49,end of record
221000,Scenic Mountain Medical Center,Big Spring,227,680,705,716,714,end of record
106001,TMC Bonham Hospital,Bonham,147,147,150,150,173,end of record
654000,Golden Plains Community Hospital,Borger,233,200,214,224,246,end of record
975156,Central Hospital of Bowie,Bowie,337,8,2,4,3,end of record
362000,Heart of Texas Healthcare System,Brady,307,61,40,40,49,end of record
430000,Stephens Memorial Hospital,Breckenridge,429,83,75,59,65,end of record
066000,Baylor Scott & White Hospital-Brenham,Brenham,477,469,407,422,395,end of record
078000,Brownfield Regional Medical Center,Brownfield,445,178,132,154,167,end of record
019000,Valley Regional Medical Center,Brownsville,061,2879,2732,2823,2794,end of record
314001,Valley Baptist Medical Center-Brownsville,Brownsville,061,2747,2481,2681,1921,end of record
821100,South Texas Rehab Hospital,Brownsville,061,201,186,186,180,end of record
847500,Solara Specialty Hospitals Harlingen Brownsville,Brownsville,061,132,111,99,82,end of record
058000,Brownwood Regional Medical Center,Brownwood,049,795,764,785,827,end of record
002001,St Joseph Regional Health Center,Bryan,041,3610,3503,3952,3940,end of record
717500,Physicians Centre Hospital,Bryan,041,65,64,59,72,end of record
975162,"CHI St Joseph Rehab Hospital, Encompass Health",Bryan,041,328,339,315,352,end of record
975270,Caprock Hospital,Bryan,041,,45,10,2,end of record
973920,Baylor Emergency Medical Center,Burleson,251,39,45,40,45,end of record
559000,Ascension Seton Highland Lakes,Burnet,053,213,163,161,160,end of record
679000,Burleson St Joseph Health Center-Caldwell,Caldwell,051,54,39,47,47,end of record
973740,Little River Healthcare - Cameron Hospital,Cameron,331,13,,,,end of record
457000,Hemphill County Hospital,Canadian,211,26,21,15,15,end of record
156000,Dimmit Regional Hospital,Carrizo Springs,127,163,133,147,170,end of record
042000,Baylor Scott & White Medical Center Carrollton,Carrollton,121,1368,1194,1141,1006,end of record
672000,Select Specialty Hospital-Dallas,Carrollton,121,99,104,73,76,end of record
969500,Carrollton Springs,Carrollton,121,524,566,596,531,end of record
974800,First Texas Hospital,Carrollton,113,191,123,100,102,end of record
484000,East Texas Medical Center-Carthage,Carthage,365,179,,,,end of record
975294,UT Health East Texas Carthage Hospital,Carthage,365,,160,209,182,end of record
101200,Baylor Scott & White Emergency Hospital Cedar Park,Cedar Park,491,7,6,3,10,end of record
858300,Cedar Park Regional Medical Center,Cedar Park,491,1464,1454,1494,1409,end of record
026000,Childress Regional Medical Center,Childress,075,252,183,181,241,end of record
523000,Chillicothe Hospital,Chillicothe,197,8,4,3,9,end of record
323000,Texas Health Harris Methodist Hospital Cleburne,Cleburne,251,925,916,895,972,end of record
975112,Cleveland Emergency Hospital,Cleveland,291,9,19,14,18,end of record
975222,Texas Rural Hospitals,Cleveland,291,10,2,8,7,end of record
070000,Goodall - Witcher Hospital,Clifton,035,101,114,73,81,end of record
049000,Coleman County Medical Center,Coleman,083,185,121,137,142,end of record
071000,College Station Medical Center,College Station,041,1275,1108,538,549,end of record
206100,Baylor Scott & White Hospital College Station,College Station,041,1898,1897,2051,2104,end of record
973830,Rock Prairie Behavioral Health,College Station,041,503,508,530,514,end of record
972420,Baylor Emergency Medical Center,Colleyville,439,17,10,13,13,end of record
075000,Mitchell County Hospital,Colorado City,335,132,112,132,136,end of record
014000,Columbus Community Hospital,Columbus,089,320,326,296,310,end of record
495001,Comanche County Medical Center,Comanche,093,100,147,116,126,end of record
100087,Montgomery County Mental Health Treatment Facility,Conroe,339,90,93,92,89,end of record
508001,HCA Houston Healthcare Conroe,Conroe,339,4231,3948,3857,3882,end of record
695000,Encompass Health Rehab Hospital The Woodlands,Conroe,339,181,160,148,152,end of record
854100,Cornerstone Specialty Hospital Conroe,Conroe,339,138,104,88,105,end of record
915000,Aspire Hospital,Conroe,339,186,189,185,208,end of record
975288,Woodland Springs,Conroe,339,,43,302,421,end of record
975324,The Woodlands Integrative Care Hospital,Conroe,339,,,,15,end of record
398000,CHRISTUS Spohn Hospital Corpus Christi,Corpus Christi,355,365,426,424,470,end of record
398001,CHRISTUS Spohn Hospital Corpus Christi-Shoreline,Corpus Christi,355,4819,4734,4626,4481,end of record
398002,CHRISTUS Spohn Hospital Corpus Christi-South,Corpus Christi,355,2195,2265,2319,2307,end of record
488000,Driscoll Childrens Hospital,Corpus Christi,355,900,841,877,1058,end of record
703000,Corpus Christi Medical Center-Bay Area,Corpus Christi,355,3354,3433,3579,3270,end of record
703002,Corpus Christi Medical Center-Doctors Regional,Corpus Christi,355,2199,2096,2113,2236,end of record
703003,Corpus Christi Medical Center-Heart Hospital,Corpus Christi,355,184,180,177,443,end of record
703005,Bayview Behavioral Hospital,Corpus Christi,355,547,588,592,677,end of record
704004,Corpus Christi Medical Center-Northwest,Corpus Christi,355,,7,,1,end of record
931000,South Texas Surgical Hospital,Corpus Christi,355,171,194,213,262,end of record
973250,PAM Specialty Hospital of Corpus Christi South,Corpus Christi,355,171,161,113,102,end of record
973310,Corpus Christi Rehabilitation Hospital,Corpus Christi,355,203,193,166,177,end of record
974360,PAM Specialty Hospital of Corpus Christi North,Corpus Christi,355,74,62,71,82,end of record
975271,PAM Rehab Hospital of Corpus Christi,Corpus Christi,355,,59,130,161,end of record
975303,PAM Specialty Hospital of Corpus Christi Bayfront,Corpus Christi,355,,59,130,161,end of record
141000,Navarro Regional Hospital,Corsicana,349,825,623,646,701,end of record
467000,Crane Memorial Hospital,Crane,103,28,22,18,15,end of record
975259,Crockett Medical Center,Crockett,225,,,,82,end of record
176000,Crosbyton Clinic Hospital,Crosbyton,107,52,31,28,30,end of record
074000,Cuero Regional Hospital,Cuero,123,289,282,288,261,end of record
114100,Lone Star Behavioral Health Cypress,Cypress,201,38,61,75,68,end of record
843200,North Cypress Medical Center,Cypress,201,2125,2070,1483,,end of record
975201,Memorial Hermann Cypress Hospital,Cypress,201,907,1134,1076,1163,end of record
975321,HCA Houston Healthcare North Cypress,Cypress,201,,,656,2052,end of record
262000,Coon Memorial Hospital & Home,Dalhart,111,129,85,98,129,end of record
008001,Baylor Scott & White Medical Center Uptown,Dallas,113,219,258,305,287,end of record
028000,Kindred Hospital-Dallas,Dallas,113,146,135,121,127,end of record
054000,Texas Scottish Rite Hospital for Children,Dallas,113,154,162,166,139,end of record
142000,Methodist Charlton Medical Center,Dallas,113,4129,3577,3748,3874,end of record
143000,Childrens Medical Center-Dallas,Dallas,113,2978,2688,2757,3022,end of record
255000,Methodist Dallas Medical Center,Dallas,113,4252,4051,4376,4411,end of record
331000,Baylor University Medical Center,Dallas,113,10661,10007,10309,10354,end of record
340000,Medical City Dallas Hospital,Dallas,113,7686,8119,8219,8837,end of record
431000,Texas Health Presbyterian Hospital Dallas,Dallas,113,7635,7926,7852,7353,end of record
448001,UT Southwestern University Hospital-Clements University,Dallas,113,5456,5457,5604,5649,end of record
449000,Dallas Medical Center,Dallas,113,545,547,544,551,end of record
474000,Parkland Memorial Hospital,Dallas,113,12759,12256,12682,12762,end of record
511000,Baylor Scott & White Medical Center White Rock,Dallas,113,1413,,,,end of record
642000,Baylor Scott & White Institute for Rehab,Dallas,113,374,376,341,367,end of record
653001,UT Southwestern University Hospital-Zale Lipshy,Dallas,113,1597,1550,1583,1403,end of record
653002,UT Southwestern University Hospital-Zale Lipshy Psych,Dallas,113,,,,61,end of record
653003,UT Southwestern University Hospital-Zale Lipshy Rehab,Dallas,113,,,,82,end of record
680001,Encompass Health Rehab Hospital Dallas,Dallas,113,247,224,228,245,end of record
717000,LifeCare Hospital-Dallas,Dallas,113,119,109,88,84,end of record
752000,Timberlawn Mental Health System,Dallas,113,97,,,,end of record
766000,Medical City Green Oaks Hospital,Dallas,113,1086,1125,1124,1194,end of record
784400,Baylor Scott & White Heart & Vascular Hospital Dallas,Dallas,113,669,670,639,645,end of record
813100,Texas Institute for Surgery-Texas Health Presbyterian-Dallas,Dallas,113,108,164,132,159,end of record
818200,Pine Creek Medical Center,Dallas,113,238,67,50,76,end of record
860600,North Central Surgical Center,Dallas,113,348,355,347,383,end of record
862000,Methodist Rehab Hospital,Dallas,113,249,262,246,271,end of record
914000,Kindred Hospital Dallas Central,Dallas,113,173,152,146,141,end of record
973780,Promise Hospital of Dallas,Dallas,113,52,48,27,16,end of record
974270,Select Specialty Hospital Dallas (Downtown),Dallas,113,80,78,77,79,end of record
975010,Our Childrens House,Dallas,113,99,95,102,89,end of record
975129,First Baptist Medical Center,Dallas,113,31,95,103,125,end of record
975268,City Hospital at White Rock,Dallas,113,699,1829,1961,2121,end of record
837800,Hickory Trail Hospital,DeSoto,113,724,784,753,781,end of record
839100,Vibra Specialty Hospital,DeSoto,113,116,113,111,135,end of record
973400,Dallas Behavioral Healthcare Hospital,DeSoto,113,1128,1151,1052,937,end of record
254000,Wise Health System,Decatur,497,33,34,45,47,end of record
254001,Wise Health System,Decatur,497,1366,1264,1345,1313,end of record
462000,Val Verde Regional Medical Center,Del Rio,465,801,700,694,808,end of record
847000,Texoma Medical Center,Denison,181,5147,5550,5293,5543,end of record
208100,Baylor Scott & White The Heart Hospital Denton,Denton,121,162,179,155,169,end of record
336001,Medical City Denton,Denton,121,2517,2264,2280,2365,end of record
820800,Texas Health Presbyterian Hospital-Denton,Denton,121,3285,3187,3128,3071,end of record
826800,University Behavioral Health-Denton,Denton,121,724,743,686,712,end of record
831700,Mayhill Hospital,Denton,121,487,539,520,566,end of record
871500,Select Rehab Hospital-Denton,Denton,121,212,179,160,190,end of record
975163,Horizon Medical Center of Denton,Denton,121,129,43,259,322,end of record
485000,Yoakum County Hospital,Denver City,501,191,163,197,173,end of record
260000,Plains Memorial Hospital,Dimmitt,069,26,35,20,23,end of record
199000,Memorial Hospital,Dumas,341,230,215,258,158,end of record
560000,Rice Medical Center,Eagle Lake,089,74,54,36,41,end of record
547001,Fort Duncan Regional Medical Center,Eagle Pass,323,1327,1250,1317,1396,end of record
222000,Eastland Memorial Hospital,Eastland,133,117,122,145,139,end of record
202000,Concho County Hospital,Eden,095,27,20,16,13,end of record
140002,Edinburg Regional Medical Center,Edinburg,215,2628,2205,2392,3006,end of record
797100,Doctors Hospital-Renaissance,Edinburg,215,5242,4982,5004,5170,end of record
797101,Womens Hospital-Renaissance,Edinburg,215,4364,4296,4854,4568,end of record
830000,Cornerstone Regional Hospital,Edinburg,215,136,120,106,127,end of record
017000,Jackson County Hospital,Edna,239,32,44,23,28,end of record
426000,El Campo Memorial Hospital,El Campo,481,172,130,126,162,end of record
000118,El Paso Psychiatric Center,El Paso,141,196,187,158,145,end of record
130000,The Hospitals of Providence Memorial Campus,El Paso,141,4883,4202,4495,3796,end of record
180000,Las Palmas Medical Center,El Paso,141,3240,2917,3192,2950,end of record
263000,University Medical Center of El Paso,El Paso,141,4791,4580,4777,4367,end of record
266000,The Hospitals of Providence Sierra Campus,El Paso,141,2515,2182,1877,1604,end of record
319000,Del Sol Medical Center,El Paso,141,4482,4507,4718,4508,end of record
701000,Premier Specialty Hospital of El Paso,El Paso,141,69,50,37,41,end of record
718002,Highlands Rehabilitation Hospital,El Paso,141,169,157,166,185,end of record
727100,Kindred Hospital El Paso,El Paso,141,140,128,112,132,end of record
728200,El Paso Specialty Hospital,El Paso,141,102,116,126,,end of record
801300,Foundation Surgical Hospital of El Paso,El Paso,141,138,166,143,120,end of record
841300,El Paso LTAC Hospital,El Paso,141,66,66,52,38,end of record
858600,El Paso Behavioral Health System,El Paso,141,1399,1458,1629,1576,end of record
865000,The Hospitals of Providence East Campus,El Paso,141,3701,3667,3763,3176,end of record
969700,El Paso Childrens Hospital,El Paso,141,1022,799,781,918,end of record
975188,The Hospitals of Providence Transmountain Campus,El Paso,141,1135,1101,1235,1088,end of record
975338,The Hospitals of Providence Northeast Campus,El Paso,141,,,,42,end of record
136000,Schleicher County Medical Center,Eldorado,413,14,13,13,16,end of record
490000,Electra Memorial Hospital,Electra,485,87,81,81,95,end of record
714500,Ennis Regional Medical Center,Ennis,139,145,158,169,164,end of record
975198,Freestone Medical Center,Fairfield,161,144,129,100,87,end of record
433000,Connally Memorial Medical Center,Floresville,493,230,178,199,203,end of record
943000,Texas Health Presbyterian Hospital Flower Mound,Flower Mound,121,2011,2035,2003,2098,end of record
975142,Icare Rehabilitation Hospital,Flower Mound,121,67,84,56,67,end of record
356000,Pecos County Memorial Hospital,Fort Stockton,371,175,150,132,152,end of record
047000,Texas Health Huguley Hospital,Fort Worth,439,2857,2961,2993,2964,end of record
235000,Texas Health Harris Methodist Hospital-Fort Worth,Fort Worth,439,9155,9477,8994,8332,end of record
332000,Cook Childrens Medical Center,Fort Worth,439,3333,2987,2840,3386,end of record
363000,Baylor Scott & White All Saints Medical Center-Fort Worth,Fort Worth,439,5671,5574,5895,6091,end of record
409000,John Peter Smith Hospital,Fort Worth,439,7026,7155,7662,7663,end of record
477000,Medical City Fort Worth,Fort Worth,439,2481,2256,2478,2542,end of record
627000,Texas Health Harris Methodist Hospital-Southwest Fort Worth,Fort Worth,439,3484,3573,3819,3577,end of record
652000,Texas Health Specialty Hospital-Fort Worth,Fort Worth,439,26,21,21,21,end of record
659000,HEALTHSOUTH Rehab Hospital,Fort Worth,439,246,32,,,end of record
662000,Encompass Health Rehab Hospital City View,Fort Worth,439,274,336,365,334,end of record
690600,LifeCare Hospital-Fort Worth,Fort Worth,439,100,130,103,131,end of record
800000,Kindred Hospital Tarrant County Fort Worth SW,Fort Worth,439,280,267,219,213,end of record
800700,Kindred Hospital-Fort Worth,Fort Worth,439,155,136,127,156,end of record
804500,Baylor Scott & White Surgical Hospital-Fort Worth,Fort Worth,439,359,436,399,483,end of record
861400,USMD Hospital Fort Worth,Fort Worth,439,42,60,46,53,end of record
873800,Baylor Scott & White Institute for Rehab-Fort Worth,Fort Worth,439,143,140,159,156,end of record
902200,Texas Rehabilitation Hospital-Fort Worth,Fort Worth,439,321,323,315,309,end of record
972900,Texas Health Harris Methodist Hospital Alliance,Fort Worth,439,2229,2065,2098,2182,end of record
973430,Mesa Springs,Fort Worth,439,709,762,752,778,end of record
973770,Wellbridge Hospital of Fort Worth,Fort Worth,439,173,148,191,180,end of record
973840,Wise Health Surgical Hospital,Fort Worth,439,79,77,65,99,end of record
974490,Medical City Alliance,Fort Worth,439,1250,1150,1302,1220,end of record
975121,JPS Health Network - Trinity Springs North,Fort Worth,439,31,31,26,35,end of record
975167,Texas Health Hospital Clearfork,Fort Worth,439,551,527,434,483,end of record
219000,Hill Country Memorial Hospital,Fredericksburg,171,746,670,669,711,end of record
200000,Parmer Medical Center,Friona,369,39,19,26,22,end of record
100093,Baylor Scott & White Institute for Rehab Frisco,Frisco,085,185,204,205,219,end of record
787400,Baylor Scott & White Medical Center-Frisco,Frisco,085,1361,1427,1450,1503,end of record
806300,Baylor Scott & White Medical Center Centennial,Frisco,085,891,,,,end of record
974290,Haven Behavioral Hospital of Frisco,Frisco,085,228,240,232,255,end of record
975139,Medical City Frisco,Frisco,085,408,454,504,849,end of record
975285,Baylor Scott & White Medical Center Centennial,Frisco,085,214,1172,1414,1416,end of record
298000,North Texas Medical Center,Gainesville,097,463,475,423,285,end of record
000102,UT Medical Branch Hospital,Galveston,167,7433,7635,7745,7532,end of record
247000,Shriners Hospital for Children-Galveston,Galveston,167,53,49,38,35,end of record
027000,Baylor Scott & White Medical Center-Garland,Garland,113,635,,,,end of record
974300,Select Specialty Hospital Dallas at Garland,Garland,113,26,,,,end of record
974400,Sundance Hospital Dallas,Garland,113,791,713,,,end of record
974990,Garland Behavioral Hospital,Garland,113,424,485,503,513,end of record
346000,Coryell Memorial Hospital,Gatesville,099,191,134,139,155,end of record
835700,St Davids Georgetown Hospital,Georgetown,491,1555,1481,1622,1531,end of record
973730,Rock Springs,Georgetown,491,502,557,541,544,end of record
973910,Georgetown Behavioral Health Institute,Georgetown,491,778,875,804,924,end of record
059000,Glen Rose Medical Center,Glen Rose,425,63,65,70,77,end of record
103000,Memorial Hospital,Gonzales,177,164,155,198,187,end of record
094000,Graham Regional Medical Center,Graham,503,151,121,123,128,end of record
424000,Lake Granbury Medical Center,Granbury,221,936,869,986,947,end of record
975249,Baylor Scott & White Emergency Hospital-Grand Prairie,Grand Prairie,113,21,18,34,21,end of record
974380,Texas General Hospital Van Zandt Regional Medical Center,Grand Saline,467,26,9,1,9,end of record
513000,Baylor Scott & White Medical Center-Grapevine,Grapevine,439,4170,3648,3732,3765,end of record
858200,Sagecrest Hospital Grapevine,Grapevine,439,2,1,12,31,end of record
085000,Hunt Regional Medical Center Greenville,Greenville,231,1755,1767,1618,1724,end of record
754000,Glen Oaks Hospital,Greenville,231,521,539,523,522,end of record
052000,Limestone Medical Center,Groesbeck,293,106,76,59,37,end of record
527000,Lavaca Medical Center,Hallettsville,285,105,98,108,124,end of record
640000,Hamilton General Hospital,Hamilton,193,162,138,165,124,end of record
305000,Hamlin Memorial Hospital,Hamlin,253,32,20,29,23,end of record
971000,Seton Medical Center Harker Heights,Harker Heights,027,1154,1144,1214,1400,end of record
000104,Rio Grande State Center,Harlingen,061,157,183,194,177,end of record
400000,Valley Baptist Medical Center,Harlingen,061,4958,4571,4597,3806,end of record
788002,Harlingen Medical Center,Harlingen,061,1768,1617,1776,1392,end of record
840700,Solara Specialty Hospitals Harlingen,Harlingen,061,120,105,99,88,end of record
975164,Palms Behavioral Health,Harlingen,061,606,714,451,836,end of record
572000,Haskell Memorial Hospital,Haskell,207,39,16,24,33,end of record
522000,Sabine County Hospital,Hemphill,403,64,65,62,80,end of record
248000,East Texas Medical Center-Henderson,Henderson,401,396,,,,end of record
975295,UT Health East Texas Henderson Hospital,Henderson,401,,434,464,359,end of record
193000,Clay County Memorial Hospital,Henrietta,077,30,29,23,29,end of record
420000,Hereford Regional Medical Center,Hereford,117,187,225,229,236,end of record
383000,Hill Regional Hospital,Hillsboro,217,339,254,231,227,end of record
427000,Medina Regional Hospital,Hondo,325,192,193,210,171,end of record
975233,The Hospitals of Providence Horizon City Campus,Horizon City,141,42,52,43,50,end of record
000105,UT MD Anderson Cancer Center,Houston,201,4855,6166,5923,6234,end of record
000115,Harris County Psychiatric Center,Houston,201,2042,2167,2099,2216,end of record
007000,Womans Hospital-Texas,Houston,201,5809,5943,6468,6500,end of record
030000,United Memorial Medical Center,Houston,201,221,199,280,175,end of record
101300,Westside Surgical Hospital,Houston,201,24,16,7,,end of record
112100,Encompass Health Rehab Hospital Cypress,Houston,201,372,330,345,341,end of record
117000,Texas Childrens Hospital,Houston,201,4005,3794,3995,4332,end of record
117002,Texas Childrens Hospital West Campus,Houston,201,825,704,639,909,end of record
117100,Texas Childrens Hospital-Pavilion for Women,Houston,201,3135,3045,3412,3359,end of record
118000,CHI St Lukes Health Baylor College of Medicine Medical Center,Houston,201,6001,5857,5549,5700,end of record
119000,Memorial Hermann Southeast Hospital,Houston,201,4019,3924,4078,4294,end of record
124000,Houston Methodist Hospital,Houston,201,9516,9750,9771,10330,end of record
164000,TIRR Memorial Hermann,Houston,201,357,403,423,382,end of record
172000,Memorial Hermann Greater Heights Hospital,Houston,201,3777,3738,4060,3956,end of record
229000,HCA Houston Healthcare Northwest,Houston,201,4509,4590,4795,4354,end of record
302000,Memorial Hermann Memorial City Medical Center,Houston,201,6163,5944,5957,6233,end of record
337001,HCA Houston Healthcare West,Houston,201,3807,3516,3482,3661,end of record
347000,Memorial Hermann - Texas Medical Center,Houston,201,9660,9320,9435,9573,end of record
384000,Harris Health System Lyndon B Johnson Hospital,Houston,201,3175,3193,3305,3320,end of record
390000,HCA Houston Healthcare Medical Center,Houston,201,861,836,784,734,end of record
407000,Memorial Hermann Southwest Hospital,Houston,201,4870,4815,5135,5098,end of record
459000,Harris Health System Ben Taub Hospital,Houston,201,5097,4831,5257,4900,end of record
459001,Harris Health System Quentin Mease Hospital,Houston,201,154,172,150,141,end of record
526000,Shriners Hospitals for Children,Houston,201,52,66,56,57,end of record
606000,HCA Houston Healthcare Cypress Fairbanks,Houston,201,2746,2587,2691,2457,end of record
674000,TOPS Surgical Specialty Hospital,Houston,201,154,184,165,138,end of record
676000,Kindred Hospital-Houston Medical Center,Houston,201,209,225,195,205,end of record
698005,Cornerstone Specialty Hospitals Bellaire,Houston,201,131,104,102,72,end of record
706000,Kindred Hospital Houston NW,Houston,201,189,158,134,138,end of record
712500,HealthBridge Childrens Hospital-Houston,Houston,201,22,21,19,29,end of record
724700,Houston Methodist Willowbrook Hospital,Houston,201,5212,5264,5419,5361,end of record
740000,St Lukes Hospital at the Vintage,Houston,201,954,1020,923,1058,end of record
744001,Cypress Creek Hospital,Houston,201,965,1046,1049,1146,end of record
755001,West Oaks Hospital,Houston,201,1443,1455,1511,1540,end of record
758000,US Pain & Spine Hospital,Houston,201,54,11,,,end of record
763000,HCA Houston Healthcare Specialty Hospital Medical Center,Houston,201,86,97,76,72,end of record
782001,Intracare North Hospital,Houston,201,517,536,508,513,end of record
792000,Texas Orthopedic Hospital,Houston,201,820,940,930,1005,end of record
792600,Kindred Hospital Spring,Houston,201,160,187,169,155,end of record
794200,Menninger Clinic,Houston,201,177,174,180,195,end of record
800010,Houston Methodist West Hospital,Houston,201,3364,3377,3436,3538,end of record
838600,St Joseph Medical Center,Houston,201,4366,3621,3573,3456,end of record
941000,Kindred Hospital The Heights,Houston,201,177,146,160,155,end of record
945500,Hermann Drive Surgical Hospital,Houston,201,218,84,174,135,end of record
