thcic_id,Hospital_name,Hospital_city,County_name,County,q1,q2,q3,q4,End of List
290000,Rankin County Hospital District,Rankin,Upton,461,8,8,4,5,End of List
294000,Hamilton Hospital,Olney,Young,503,80,71,92,85,End of List
297000,Wilson N Jones Regional Medical Center,Sherman,Grayson,181,384,572,823,886,End of List
298000,North Texas Medical Center,Gainesville,Cooke,097,414,389,407,430,End of List
300000,Baylor Scott & White Medical Center-Irving,Irving,Dallas,113,"3,153","3,222","3,365","3,682",End of List
301000,Doctors Hospital-Laredo,Laredo,Webb,479,"2,172","1,997","2,189","2,442",End of List
302000,Memorial Hermann Memorial City Medical Center,Houston,Harris,201,"5,293","5,708","5,931","6,056",End of List
303000,Texas Health Presbyterian Hospital-Kaufman,Kaufman,Kaufman,257,323,237,219,251,End of List
307000,Covenant Hospital-Levelland,Levelland,Hockley,219,152,73,121,165,End of List
314001,Valley Baptist Medical Center-Brownsville,Brownsville,Cameron,061,"2,176","2,340","2,447","2,386",End of List
315003,Dallas Regional Medical Center,Mesquite,Dallas,113,"1,861","1,806","1,804","1,949",End of List
318000,Northwest Texas Hospital,Amarillo,Potter,375,"4,706","4,588","4,802","4,932",End of List
319000,Del Sol Medical Center,El Paso,El Paso,141,"4,057","4,135","4,167","4,427",End of List
323000,Texas Health Harris Methodist Hospital Cleburne,Cleburne,Johnson,251,859,827,888,906,End of List
331000,Baylor University Medical Center,Dallas,Dallas,113,"9,245","9,536","9,923","10,068",End of List
332000,Cook Childrens Medical Center,Fort Worth,Tarrant,439,"2,538","2,492","2,505","3,065",End of List
336001,Medical City Denton,Denton,Denton,121,"2,443","2,652","2,668","2,889",End of List
337001,HCA Houston Healthcare West,Houston,Harris,201,"2,948","2,909","2,596","2,502",End of List
339001,CHRISTUS Santa Rosa Medical Center,San Antonio,Bexar,029,"1,247","1,175","1,267","1,254",End of List
339002,CHRISTUS Santa Rosa Hospital-Westover Hills,San Antonio,Bexar,029,"2,594","2,768","2,985","3,075",End of List
340000,Medical City Dallas Hospital,Dallas,Dallas,113,"7,332","8,189","8,727","8,683",End of List
341000,Medical Arts Hospital,Lamesa,Dawson,115,110,54,77,90,End of List
343000,Reagan Memorial Hospital,Big Lake,Reagan,383,8,2,1,2,End of List
346000,Coryell Memorial Hospital,Gatesville,Coryell,099,126,89,80,90,End of List
347000,Memorial Hermann - Texas Medical Center,Houston,Harris,201,"8,211","8,592","8,838","8,994",End of List
348000,Nocona General Hospital,Nocona,Montague,337,104,59,55,66,End of List
349001,HCA Houston Healthcare Southeast,Pasadena,Harris,201,"4,122","3,928","4,170","4,160",End of List
355000,Fisher County Hospital District,Rotan,Fisher,151,16,15,19,21,End of List
356000,Pecos County Memorial Hospital,Fort Stockton,Pecos,371,104,113,102,109,End of List
357000,Otto Kaiser Memorial Hospital,Kenedy,Karnes,255,52,48,51,38,End of List
362000,Heart of Texas Healthcare System,Brady,McCulloch,307,30,35,36,47,End of List
363000,Baylor Scott & White All Saints Medical Center-Fort Worth,Fort Worth,Tarrant,439,"6,224","6,271","6,755","6,527",End of List
365000,Muenster Memorial Hospital,Muenster,Cooke,097,47,6,2,3,End of List
367000,Reeves County Hospital,Pecos,Reeves,389,185,162,134,152,End of List
368000,Refugio County Memorial Hospital District,Refugio,Refugio,391,13,13,27,26,End of List
370000,Mission Regional Medical Center,Mission,Hidalgo,215,"2,568","2,257","2,750","2,527",End of List
383000,Hill Regional Hospital,Hillsboro,Hill,217,366,359,336,371,End of List
384000,Harris Health System Lyndon B Johnson Hospital,Houston,Harris,201,"2,955","3,248","3,414","3,756",End of List
388000,Martin County Hospital District,Stanton,Martin,317,55,38,30,34,End of List
389000,Baptist Hospitals of Southeast Texas,Beaumont,Jefferson,245,"3,435","3,230","3,590","3,683",End of List
390000,HCA Houston Healthcare Medical Center,Houston,Harris,201,955,"1,104","1,135","1,082",End of List
392000,Nacogdoches Medical Center,Nacogdoches,Nacogdoch,347,"1,016","1,083","1,145","1,117",End of List
393000,Starr County Memorial Hospital,Rio Grande City,Starr,427,331,308,298,342,End of List
394000,Medical City Lewisville,Lewisville,Denton,121,"2,373","2,337","2,521","2,494",End of List
395000,Hansford County Hospital,Spearman,Hansford,195,24,14,18,19,End of List
397000,Adventhealth Rollins Brook,Lampasas,Lampasas,281,131,105,118,95,End of List
397001,Adventhealth Central Texas,Killeen,Bell,027,"1,872","1,828","2,003","1,942",End of List
398000,CHRISTUS Spohn Hospital Corpus Christi,Corpus Christi,Nueces,355,434,411,327,,End of List
398001,CHRISTUS Spohn Hospital Corpus Christi-Shoreline,Corpus Christi,Nueces,355,"3,574","3,932","4,115","4,335",End of List
398002,CHRISTUS Spohn Hospital Corpus Christi-South,Corpus Christi,Nueces,355,"2,105","2,064","2,255","2,205",End of List
400000,Valley Baptist Medical Center,Harlingen,Cameron,061,"3,581","3,856","4,039","3,978",End of List
405000,Houston Methodist Baytown Hospital,Baytown,Harris,201,"3,682","3,801","4,166","4,086",End of List
406000,Peterson Regional Medical Center,Kerrville,Kerr,265,"1,336","1,225","1,278","1,210",End of List
407000,Memorial Hermann Southwest Hospital,Houston,Harris,201,"4,851","5,048","5,523","5,737",End of List
409000,John Peter Smith Hospital,Fort Worth,Tarrant,439,"6,369","6,771","7,204","7,770",End of List
417000,United Regional Health Care System,Wichita Falls,Wichita,485,"3,558","3,519","4,109","4,202",End of List
420000,Hereford Regional Medical Center,Hereford,Deaf Smit,117,154,29,135,128,End of List
422000,Texas Health Arlington Memorial Hospital,Arlington,Tarrant,439,"3,517","3,667","3,726","3,681",End of List
424000,Lake Granbury Medical Center,Granbury,Hood,221,992,897,984,998,End of List
424500,Ascension Seton Smithville,Smithville,Bastrop,021,47,40,43,42,End of List
425000,Odessa Regional Medical Center,Odessa,Ector,135,"1,373","1,284","1,487","1,397",End of List
426000,El Campo Memorial Hospital,El Campo,Wharton,481,227,178,166,168,End of List
427000,Medina Regional Hospital,Hondo,Medina,325,124,89,142,209,End of List
428000,Throckmorton County Memorial Hospital,Throckmorton,Throckmor,447,16,13,14,10,End of List
429001,CHRISTUS Spohn Hospital-Beeville,Beeville,Bee,025,343,340,340,266,End of List
430000,Stephens Memorial Hospital,Breckenridge,Stephens,429,73,57,43,41,End of List
431000,Texas Health Presbyterian Hospital Dallas,Dallas,Dallas,113,"7,406","7,426","7,345","7,064",End of List
433000,Connally Memorial Medical Center,Floresville,Wilson,493,146,144,145,165,End of List
436000,CHI St Lukes Health Brazosport,Lake Jackson,Brazoria,039,923,900,960,898,End of List
437000,Medical City North Hills,North Richland Hills,Tarrant,439,"2,062","2,050","2,026","2,144",End of List
439000,Cogdell Memorial Hospital,Snyder,Scurry,415,191,183,170,229,End of List
441000,Frio Regional Hospital,Pearsall,Frio,163,148,137,149,113,End of List
442000,OmniPoint Health Hospital,Anahuac,Chambers,071,9,18,12,10,End of List
444001,CHRISTUS Southeast Texas - St Elizabeth,Beaumont,Jefferson,245,"3,900","3,968","4,262","4,363",End of List
446001,Christus Mother Frances Hospital Winnsboro,Winnsboro,Wood,499,74,39,44,42,End of List
448001,UT Southwestern University Hospital-Clements University,Dallas,Dallas,113,"7,449","7,692","7,938","7,905",End of List
448002,UT Southwestern University Hospital-Clements Psych,Dallas,Dallas,113,167,222,187,181,End of List
449000,Dallas Medical Center,Dallas,Dallas,113,401,325,357,440,End of List
452000,Midland Memorial Hospital,Midland,Midland,329,"3,229","3,203","3,314","3,228",End of List
453000,DeTar Hospital-Navarro,Victoria,Victoria,469,"1,455","1,287","1,381","1,471",End of List
453001,DeTar Hospital-North,Victoria,Victoria,469,619,623,664,678,End of List
457000,Hemphill County Hospital,Canadian,Hemphill,211,34,18,30,34,End of List
459000,Harris Health System Ben Taub Hospital,Houston,Harris,201,"4,476","4,767","5,198","5,385",End of List
462000,Val Verde Regional Medical Center,Del Rio,Val Verde,465,465,484,515,539,End of List
464002,Medical Center-Southeast Texas,Port Arthur,Jefferson,245,"1,481","1,422","1,490","1,411",End of List
465000,Covenant Medical Center,Lubbock,Lubbock,303,"1,922","1,553","3,294","3,451",End of List
466000,CHI St Lukes Health - Memorial Livingston,Livingston,Polk,373,374,399,401,400,End of List
467000,Crane Memorial Hospital,Crane,Crane,103,25,16,11,17,End of List
468000,Ward Memorial Hospital,Monahans,Ward,475,95,59,65,67,End of List
469000,Texas Health Harris Methodist Hospital Azle,Azle,Tarrant,439,452,372,355,379,End of List
471000,Rolling Plains Memorial Hospital,Sweetwater,Nolan,353,286,280,216,213,End of List
474000,Parkland Memorial Hospital,Dallas,Dallas,113,"10,852","11,365","12,326","12,435",End of List
477000,Medical City Fort Worth,Fort Worth,Tarrant,439,"2,895","3,000","3,274","3,247",End of List
478000,Nacogdoches Memorial Hospital,Nacogdoches,Nacogdoch,347,780,767,844,937,End of List
480000,Knapp Medical Center,Weslaco,Hidalgo,215,"1,611","1,481","1,763","1,770",End of List
481000,Woodland Heights Medical Center,Lufkin,Angelina,005,"1,625","1,173","1,950","1,930",End of List
485000,Yoakum County Hospital,Denver City,Yoakum,501,166,167,145,142,End of List
487000,Memorial Medical Center,Port Lavaca,Calhoun,057,171,138,136,146,End of List
488000,Driscoll Childrens Hospital,Corpus Christi,Nueces,355,681,713,821,940,End of List
490000,Electra Memorial Hospital,Electra,Wichita,485,84,44,49,73,End of List
495001,Comanche County Medical Center,Comanche,Comanche,093,34,40,28,41,End of List
497000,Ascension Seton Medical Center,Austin,Travis,453,"6,097","5,873","6,181","6,133",End of List
500000,Hendrick Medical Center,Abilene,Taylor,441,"4,240","4,442","4,548","4,671",End of List
502000,Medical City Arlington,Arlington,Tarrant,439,"5,330","5,393","5,559","5,665",End of List
503001,St Lukes Baptist Hospital,San Antonio,Bexar,029,"3,420","3,415","3,582","3,406",End of List
505000,Parkview Regional Hospital,Mexia,Limestone,293,91,97,76,124,End of List
506001,Baylor Scott & White Medical Center Hillcrest,Waco,McLennan,309,"4,064","4,129","4,444","4,331",End of List
508001,HCA Houston Healthcare Conroe,Conroe,Montgomer,339,"3,792","3,900","4,029","3,956",End of List
513000,Baylor Scott & White Medical Center-Grapevine,Grapevine,Tarrant,439,"3,778","3,884","3,968","3,942",End of List
517000,Falls Community Hospital & Clinic,Marlin,Falls,145,30,16,24,12,End of List
522000,Sabine County Hospital,Hemphill,Sabine,403,36,25,25,31,End of List
525000,Longview Regional Medical Center,Longview,Gregg,183,"3,133","3,060","3,360","3,254",End of List
527000,Lavaca Medical Center,Hallettsville,Lavaca,285,103,79,105,106,End of List
534001,Memorial Hermann Katy Hospital,Katy,Harris,201,"3,521","3,692","3,874","3,901",End of List
537000,Baylor Scott & White Medical Center Temple,Temple,Bell,027,"7,015","7,379","7,585","7,774",End of List
537006,Baylor Scott & White McLane Childrens Medical Center,Temple,Bell,027,671,700,838,925,End of List
546000,Seymour Hospital,Seymour,Baylor,023,93,69,76,82,End of List
547001,Fort Duncan Regional Medical Center,Eagle Pass,Maverick,323,"1,209","1,276","1,255","1,254",End of List
549000,Methodist Richardson Medical Center,Richardson,Dallas,113,292,356,388,316,End of List
549001,Bush Renner,Richardson,Collin,085,"3,362","3,331","3,501","3,508",End of List
552000,Bellville Medical Center,Bellville,Austin,015,16,14,11,4,End of List
559000,Ascension Seton Highland Lakes,Burnet,Burnet,053,127,110,118,128,End of List
560000,Rice Medical Center,Eagle Lake,Colorado,089,32,27,38,45,End of List
568000,Knox County Hospital,Knox City,Knox,275,13,5,4,10,End of List
569000,Tyler County Hospital,Woodville,Tyler,457,73,47,47,46,End of List
572000,Haskell Memorial Hospital,Haskell,Haskell,207,32,31,41,33,End of List
574001,Palacios Community Medical Center,Palacios,Matagorda,321,15,19,20,15,End of List
597000,Ascension Seton Edgar B Davis,Luling,Caldwell,055,139,132,130,143,End of List
601000,Rio Grande Regional Hospital,McAllen,Hidalgo,215,"2,860","3,839","3,672","3,506",End of List
602000,St Davids South Austin Hospital,Austin,Travis,453,"5,355","5,448","5,750","5,565",End of List
608000,Round Rock Medical Center,Round Rock,Williamso,491,"3,026","3,073","3,233","3,165",End of List
609001,Memorial Hermann Sugar Land Hospital,Sugar Land,Fort Bend,157,"2,814","3,004","3,173","3,341",End of List
615000,Memorial Hermann The Woodlands Medical Center,The Woodlands,Montgomer,339,"5,535","5,849","6,328","6,439",End of List
616000,Encompass Health Rehab Hospital Humble,Humble,Harris,201,308,275,282,299,End of List
622001,Texas NeuroRehab Center-LTAC,Austin,Travis,453,134,136,142,157,End of List
627000,Texas Health Harris Methodist Hospital-Southwest Fort Worth,Fort Worth,Tarrant,439,"3,826","3,806","3,993","4,150",End of List
629001,Palestine Regional Medical Center,Palestine,Anderson,001,784,789,803,807,End of List
631000,Muleshoe Area Medical Center,Muleshoe,Bailey,017,25,11,10,18,End of List
634000,Childrens Hospital of San Antonio,San Antonio,Bexar,029,"1,444","1,401","1,561","1,612",End of List
636000,Encompass Health Rehab Hospital San Antonio,San Antonio,Bexar,029,406,390,411,368,End of List
640000,Hamilton General Hospital,Hamilton,Hamilton,193,155,89,105,113,End of List
642000,Baylor Scott & White Institute for Rehab,Dallas,Dallas,113,362,400,385,396,End of List
645000,Kindred Hospital-San Antonio,San Antonio,Bexar,029,135,95,88,105,End of List
647000,Baptist Emergency Hospital Thousand Oaks,San Antonio,Bexar,029,80,72,78,70,End of List
649000,St Davids Rehab Center,Austin,Travis,453,322,337,339,333,End of List
652000,Texas Health Specialty Hospital-Fort Worth,Fort Worth,Tarrant,439,20,17,24,17,End of List
653001,UT Southwestern University Hospital-Zale Lipshy,Dallas,Dallas,113,166,236,191,199,End of List
653003,UT Southwestern University Hospital-Zale Lipshy Rehab,Dallas,Dallas,113,235,224,198,230,End of List
654000,Golden Plains Community Hospital,Borger,Hutchinso,233,180,158,121,148,End of List
660000,Encompass Health Rehab Hospital Arlington,Arlington,Tarrant,439,389,401,429,434,End of List
662000,Encompass Health Rehab Hospital City View,Fort Worth,Tarrant,439,350,363,380,399,End of List
664000,Texas Health Presbyterian Hospital-Plano,Plano,Collin,085,"4,441","4,663","4,812","4,718",End of List
