"DATE","DISEASE_CAT","COUNT_TYPE","PAT_COUNTY","PAT_COUNTY_FIPS","PAT_STATE","PATIENT_COUNT"
2018-12-11,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",3
2018-12-11,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2
2018-12-12,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",5
2018-12-12,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",4
2018-12-13,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",5
2018-12-13,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",5
2018-12-14,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",5
2018-12-14,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",5
2018-12-15,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",5
2018-12-15,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",4
2018-12-16,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",4
2018-12-16,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3
2018-12-17,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2
2018-12-17,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3
2018-12-18,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2
2018-12-18,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3
2018-12-19,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2
2018-12-19,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3
2018-12-20,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2
2018-12-20,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2
2018-12-21,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
2018-12-21,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-12-22,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
2018-12-22,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-12-23,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
2018-12-24,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
2018-12-25,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
2018-12-26,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
